redcap_randomization_number,redcap_randomization_group,gender,,,,
,A,0,,,,
,A,0,,,NOTES:,
,A,0,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file.",
,B,0,,, - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table.,
,B,0,,, - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored).,
,B,0,,, - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups.,
,C,0,,,,
,C,0,,,"Randomization Field: ""auto_rand"" (Automatic Randomization)",
,C,0,,,Your randomization field is a single-select field (for open allocation):,
,B,1,,,,
,B,1,,,"Values/labels for ""gender"" (Do you describe yourself as...other way?):",
,B,1,,,0,Man
,C,1,,,1,Woman
,C,1,,,2,Other
,C,1,,,,
,A,1,,,,
,A,1,,,,
,A,1,,,,
,C,2,,,,
,C,2,,,,
,C,2,,,,
,A,2,,,,
,A,2,,,,
,A,2,,,,
,B,2,,,,
,B,2,,,,
,B,2,,,,
