redcap_randomization_number,redcap_randomization_group,gender
,1,0
,2,0,,,"NOTES:"
,3,0,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file."
,1,1,,," - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table."
,2,1,,," - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored)."
,3,1,,," - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups."
,1,2
,2,2,,,"Randomization Field: ""rand_group"" (Randomization group)"
,3,2,,,"Your randomization field is a single-select field (for open allocation):"
,,,,," - Values in the redcap_randomization_number column are optional"
,,,,," - Values in the redcap_randomization_group column are REQUIRED and must match the values for your randomization field"
,,,,,"Values/labels for ""randomization_group"" (""rand_group""):"
,,,,,"1","Drug A"
,,,,,"2","Drug B"
,,,,,"3","Placebo"
,,,,,""
,,,,,"Values/labels for ""gender"" (Do you describe yourself as...other way?):"
,,,,,"0","Man"
,,,,,"1","Woman"
,,,,,"2","Other"
